Date : 2025-04-13 05:25:04
Directory : c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main
Total : 127 files,  21331 codes, 3407 comments, 2838 blanks, all 27576 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        103 |     13,768 |      3,402 |      2,213 |     19,383 |
| JSON       |          3 |      4,788 |          0 |          3 |      4,791 |
| Markdown   |         17 |      2,686 |          0 |        609 |      3,295 |
| CSS        |          2 |         51 |          3 |          6 |         60 |
| Batch      |          1 |         23 |          0 |          5 |         28 |
| HTML       |          1 |         15 |          2 |          2 |         19 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        127 |     21,331 |      3,407 |      2,838 |     27,576 |
| . (Files)                                                                                                                         |         24 |      7,630 |         10 |        623 |      8,263 |
| css                                                                                                                               |          2 |         51 |          3 |          6 |         60 |
| js                                                                                                                                |         71 |      9,460 |      1,964 |      1,342 |     12,766 |
| js (Files)                                                                                                                        |          1 |         22 |         11 |          5 |         38 |
| js\lib                                                                                                                            |          5 |        752 |        121 |         91 |        964 |
| js\modules                                                                                                                        |         65 |      8,686 |      1,832 |      1,246 |     11,764 |
| js\modules (Files)                                                                                                                |          5 |        968 |        129 |        127 |      1,224 |
| js\modules\components                                                                                                             |         46 |      5,216 |      1,051 |        636 |      6,903 |
| js\modules\components (Files)                                                                                                     |         25 |      2,747 |        586 |        380 |      3,713 |
| js\modules\components\common                                                                                                      |          3 |        120 |         33 |         15 |        168 |
| js\modules\components\content                                                                                                     |          6 |        722 |        152 |         76 |        950 |
| js\modules\components\links                                                                                                       |          8 |      1,432 |        211 |        142 |      1,785 |
| js\modules\components\status                                                                                                      |          4 |        195 |         69 |         23 |        287 |
| js\modules\services                                                                                                               |          5 |      1,414 |        406 |        288 |      2,108 |
| js\modules\tabs                                                                                                                   |          9 |      1,088 |        246 |        195 |      1,529 |
| src                                                                                                                               |         30 |      4,190 |      1,430 |        867 |      6,487 |
| src\background                                                                                                                    |         17 |      2,379 |        901 |        532 |      3,812 |
| src\background (Files)                                                                                                            |          1 |         39 |         17 |         14 |         70 |
| src\background\controllers                                                                                                        |          9 |      1,503 |        551 |        333 |      2,387 |
| src\background\services                                                                                                           |          7 |        837 |        333 |        185 |      1,355 |
| src\content                                                                                                                       |          7 |      1,371 |        388 |        269 |      2,028 |
| src\content (Files)                                                                                                               |          2 |        176 |         70 |         56 |        302 |
| src\content\analyzers                                                                                                             |          1 |        212 |         53 |         30 |        295 |
| src\content\detectors                                                                                                             |          1 |        228 |        117 |         65 |        410 |
| src\content\extractors                                                                                                            |          1 |        302 |         63 |         38 |        403 |
| src\content\utils                                                                                                                 |          2 |        453 |         85 |         80 |        618 |
| src\shared                                                                                                                        |          6 |        440 |        141 |         66 |        647 |
| src\shared (Files)                                                                                                                |          1 |         70 |          1 |         10 |         81 |
| src\shared\constants                                                                                                              |          1 |          6 |          7 |          6 |         19 |
| src\shared\utils                                                                                                                  |          4 |        364 |        133 |         50 |        547 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\BUILD-SETUP.md                                          | Markdown   |        154 |          0 |         40 |        194 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CHANGELOG.md                                            | Markdown   |        178 |          0 |         40 |        218 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\COMPONENT-STRUCTURE.md                                  | Markdown   |        247 |          0 |         29 |        276 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CONNECTION-ERROR-COMPREHENSIVE-FIX-UPDATE.md            | Markdown   |        168 |          0 |         39 |        207 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CONNECTION-ERROR-COMPREHENSIVE-FIX.md                   | Markdown   |        194 |          0 |         41 |        235 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CONNECTION-ERROR-FIX.md                                 | Markdown   |        126 |          0 |         17 |        143 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CORE-WEB-VITALS-FIX.md                                  | Markdown   |        134 |          0 |         35 |        169 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\POPUP-REFACTORING.md                                    | Markdown   |         93 |          0 |         29 |        122 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\README.md                                               | Markdown   |        256 |          0 |         48 |        304 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\REFACTORING-GUIDE.md                                    | Markdown   |        412 |          0 |        103 |        515 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\SEO-SCORE-UPDATE.md                                     | Markdown   |         83 |          0 |         25 |        108 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\SPA-DETECTION-FIX.md                                    | Markdown   |        103 |          0 |         21 |        124 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\STRUCTURE-LINKING-SCORE-UPDATE.md                       | Markdown   |         56 |          0 |         24 |         80 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\URL-CHANGE-BUG-FIX.md                                   | Markdown   |        106 |          0 |         38 |        144 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\WEB-VITALS-FIX.md                                       | Markdown   |         46 |          0 |         11 |         57 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\css\animations.css                                      | CSS        |         31 |          1 |          4 |         36 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\css\styles.css                                          | CSS        |         20 |          2 |          2 |         24 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\direct-web-vitals.js                             | JavaScript |        285 |         51 |         57 |        393 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\react-dom.production.min.js                      | JavaScript |        256 |         11 |          1 |        268 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\react.production.min.js                          | JavaScript |         22 |          9 |          1 |         32 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\web-vitals-handler.js                            | JavaScript |        188 |         50 |         31 |        269 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\web-vitals.iife.js                               | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\App.js                            | JavaScript |        190 |         62 |         43 |        295 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ContentOverview.js                | JavaScript |         29 |          9 |          5 |         43 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ContentRecommendations.js         | JavaScript |         77 |         14 |         11 |        102 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\CoreWebVitals.js                  | JavaScript |        138 |         61 |         34 |        233 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\CoreWebVitalsDetail.js            | JavaScript |        128 |         28 |         24 |        180 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\Footer.js                         | JavaScript |         11 |          7 |          2 |         20 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\Header.js                         | JavaScript |         64 |         18 |          5 |         87 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\HeadingStructure.js               | JavaScript |        275 |         47 |         30 |        352 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ImageAnalysis.js                  | JavaScript |        192 |         13 |          6 |        211 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\IssuesSummary.js                  | JavaScript |         22 |          9 |          5 |         36 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\MetricItem.js                     | JavaScript |         97 |         14 |          5 |        116 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\NavTabs.js                        | JavaScript |         37 |         14 |          4 |         55 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\OpenGraphTags.js                  | JavaScript |         30 |          9 |          6 |         45 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PageSpeedInsights.js              | JavaScript |        335 |         32 |         36 |        403 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PageSpeedOpportunities.js         | JavaScript |         53 |          9 |          6 |         68 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PageSpeedOpportunity.js           | JavaScript |         43 |         16 |          9 |         68 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PerformanceRecommendations.js     | JavaScript |         60 |          7 |          3 |         70 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PerformanceScoreCard.js           | JavaScript |         68 |         13 |          4 |         85 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ResponseDetails.js                | JavaScript |        202 |         53 |         35 |        290 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\SeoScoreCard.js                   | JavaScript |        428 |         66 |         64 |        558 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\SerpPreview.js                    | JavaScript |         68 |         34 |         12 |        114 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ServerDetails.js                  | JavaScript |         44 |         19 |          7 |         70 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ServerResponseTime.js             | JavaScript |         38 |         11 |          8 |         57 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\TextAnalysis.js                   | JavaScript |         73 |         12 |         10 |         95 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\WebsiteInformation.js             | JavaScript |         45 |          9 |          6 |         60 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\common\RecommendationItem.js      | JavaScript |         45 |         10 |          4 |         59 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\common\StatItem.js                | JavaScript |         24 |          9 |          2 |         35 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\common\ToggleSwitch.js            | JavaScript |         51 |         14 |          9 |         74 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ContentTabHeader.js       | JavaScript |         36 |         11 |          3 |         50 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageContentTab.js        | JavaScript |        171 |         55 |         27 |        253 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageIssueCard.js         | JavaScript |         77 |         12 |          7 |         96 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageStatusFilter.js      | JavaScript |         71 |         18 |         12 |        101 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageTable.js             | JavaScript |        290 |         38 |         14 |        342 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\TextContentTab.js         | JavaScript |         77 |         18 |         13 |        108 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkAnalysisTable.js        | JavaScript |        171 |         27 |         11 |        209 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkCountCards.js           | JavaScript |         37 |          9 |          5 |         51 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkDistribution.js         | JavaScript |         76 |         13 |          7 |         96 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkExportButton.js         | JavaScript |        103 |         12 |          7 |        122 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkIssuesTable.js          | JavaScript |         92 |         14 |         13 |        119 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkStatusChecker.js        | JavaScript |         85 |         15 |          7 |        107 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkStatusFilter.js         | JavaScript |        261 |         42 |         32 |        335 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkTable.js                | JavaScript |        607 |         79 |         60 |        746 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\status\LoadingDisplay.js          | JavaScript |         36 |         12 |          4 |         52 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\status\NetworkErrorDisplay.js     | JavaScript |         35 |         14 |          5 |         54 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\status\RefreshButton.js           | JavaScript |         36 |         19 |          4 |         59 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\status\SpaNavigationDisplay.js    | JavaScript |         88 |         24 |         10 |        122 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\data-service.js                              | JavaScript |        273 |         39 |         45 |        357 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\data-fetching-service.js            | JavaScript |        238 |         51 |         35 |        324 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\link-service.js                     | JavaScript |        604 |        144 |        110 |        858 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\navigation-service.js               | JavaScript |         96 |         48 |         28 |        172 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\performance-service.js              | JavaScript |        363 |        121 |         80 |        564 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\server-service.js                   | JavaScript |        113 |         42 |         35 |        190 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\store.js                                     | JavaScript |        230 |         63 |         51 |        344 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\styles.js                                    | JavaScript |        330 |          8 |          4 |        342 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\ai-tab.js                               | JavaScript |        112 |         15 |         12 |        139 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\content-tab.js                          | JavaScript |        139 |         46 |         29 |        214 |
