"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\messaging-service.js", "JavaScript", -9, 7, -1, -3
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\storage-service.js", "JavaScript", -8, 3, 0, -5
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\utils\storage-utils.js", "JavaScript", 64, 23, 6, 93
"Total", "-", 47, 33, 5, 85
