"filename", "language", "Markdown", "JavaScript", "Batch", "HTML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\overview-tab.js", "JavaScript", 0, 69, 0, 0, 0, 0, 17, 17, 103
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\performance-tab.js", "JavaScript", 0, 25, 0, 0, 0, 0, 19, 11, 55
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\settings-tab.js", "JavaScript", 0, 92, 0, 0, 0, 0, 19, 11, 122
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\structured-tab.js", "JavaScript", 0, 98, 0, 0, 0, 0, 15, 14, 127
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\ui-helpers.js", "JavaScript", 0, 103, 0, 0, 0, 0, 11, 19, 133
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\utils.js", "JavaScript", 0, 32, 0, 0, 0, 0, 8, 8, 48
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\popup.js", "JavaScript", 0, 22, 0, 0, 0, 0, 11, 5, 38
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\manifest.json", "JSON", 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\package-lock.json", "JSON", 0, 0, 0, 0, 4712, 0, 0, 1, 4713
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\package.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\planning.md", "Markdown", 134, 0, 0, 0, 0, 0, 0, 32, 166
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\popup.html", "HTML", 0, 0, 0, 15, 0, 0, 2, 2, 19
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\rebuild.bat", "Batch", 0, 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\background.js", "JavaScript", 0, 39, 0, 0, 0, 0, 17, 14, 70
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\link-checker-controller.js", "JavaScript", 0, 131, 0, 0, 0, 0, 38, 26, 195
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\message-controller.js", "JavaScript", 0, 257, 0, 0, 0, 0, 80, 55, 392
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\navigation-controller.js", "JavaScript", 0, 68, 0, 0, 0, 0, 52, 26, 146
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\seo-data-controller.js", "JavaScript", 0, 189, 0, 0, 0, 0, 72, 39, 300
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\server-info-controller.js", "JavaScript", 0, 51, 0, 0, 0, 0, 17, 12, 80
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\spa-navigation-controller.js", "JavaScript", 0, 143, 0, 0, 0, 0, 59, 39, 241
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\tab-controller.js", "JavaScript", 0, 25, 0, 0, 0, 0, 16, 7, 48
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\web-request-controller.js", "JavaScript", 0, 319, 0, 0, 0, 0, 119, 87, 525
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\web-vitals-controller.js", "JavaScript", 0, 158, 0, 0, 0, 0, 55, 25, 238
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\cleanup-service.js", "JavaScript", 0, 47, 0, 0, 0, 0, 19, 17, 83
